species,sigma,type,rotation axis,rotation angle,gb plane,"Gamma, J/m^2","Gamma, eV/A^2",confirmed
Ag,5,tilt ,[100],36.87,(021),0.59,0.037,yes
Ag,5,tilt ,[100],53.13,(013),0.55,0.035,yes
Ag,9,tilt ,[110],38.94,(221),0.51,0.032,yes
Ag,3,tilt ,[110],109.47,(112),0.43,0.027,yes
Ag,7,tilt ,[111],38.21,(321),0.54,0.034,yes
Ag,3,tilt ,[111],180,(110),0.54,0.034,yes
Al,5,tilt ,[100],36.87,(021),0.53,0.033,yes
Al,5,tilt ,[100],53.13,(013),0.48,0.03,yes
Al,9,tilt ,[110],38.94,(221),0.43,0.027,yes
Al,3,tilt ,[110],109.47,(112),0.31,0.019,yes
Al,7,tilt ,[111],38.21,(321),0.5,0.031,yes
Al,3,tilt ,[111],180,(110),0.46,0.028,yes
Au,5,tilt ,[100],36.87,(021),0.52,0.032,yes
Au,5,tilt ,[100],53.13,(013),0.45,0.028,yes
Au,9,tilt ,[110],38.94,(221),0.39,0.025,yes
Au,3,tilt ,[110],109.47,(112),0.34,0.021,yes
Au,7,tilt ,[111],38.21,(321),0.44,0.028,yes
Au,3,tilt ,[111],180,(110),0.46,0.029,yes
Cu,5,tilt ,[100],36.87,(021),1,0.062,yes
Cu,5,tilt ,[100],53.13,(013),0.88,0.055,yes
Cu,51,tilt ,[110],16.1,(551),0.74,0.046,no
Cu,66,tilt ,[110],20.05,(118),1.03,0.064,no
Cu,19,tilt ,[110],26.53,(331),0.94,0.058,yes
Cu,19,tilt ,[110],26.53,(116),0.98,0.061,no
Cu,9,tilt ,[110],38.94,(221),0.86,0.053,yes
Cu,9,tilt ,[110],38.94,(114),0.92,0.058,no
Cu,11,tilt ,[110],50.48,(113),0.37,0.023,yes
Cu,41,tilt ,[110],55.88,(443),0.45,0.028,no
Cu,33,tilt ,[110],58.99,(225),0.65,0.041,no
Cu,43,tilt ,[110],80.63,(335),0.84,0.053,no
Cu,17,tilt ,[110],86.63,(223),0.78,0.049,no
Cu,17,tilt ,[110],93.37,(334),0.97,0.06,no
Cu,57,tilt ,[110],97.05,(445),0.42,0.026,no
Cu,3,tilt ,[110],109.47,(112),0.63,0.04,yes
Cu,27,tilt ,[110],148.41,(115),0.72,0.045,yes
Cu,27,tilt ,[110],148.41,(552),0.93,0.058,no
Cu,7,tilt ,[111],38.21,(321),0.92,0.057,yes
Cu,3,tilt ,[111],180,(110),0.85,0.053,yes
Fe,5,tilt ,[100],36.87,(012),1.89,0.118,yes
Fe,5,tilt ,[100],53.13,(013),1.56,0.097,yes
Fe,9,tilt ,[110],38.94,(221),1.75,0.109,yes
Fe,3,tilt ,[110],109.47,(112),0.42,0.026,yes
Fe,7,tilt ,[111],38.21,(132),1.42,0.089,yes
Fe,3,tilt ,[111],180,(110),0.51,0.032,yes
Ni,5,tilt ,[100],36.87,(021),1.38,0.086,yes
Ni,5,tilt ,[100],53.13,(013),1.26,0.079,yes
Ni,9,tilt ,[110],38.94,(221),1.16,0.072,yes
Ni,3,tilt ,[110],109.47,(112),1.15,0.072,yes
Ni,7,tilt ,[111],38.21,(321),1.33,0.083,yes
Ni,3,tilt ,[111],180,(110),1.21,0.076,yes
Pb,5,tilt ,[100],36.87,(021),0.28,0.018,yes
Pb,5,tilt ,[100],53.13,(013),0.24,0.015,yes
Pb,9,tilt ,[110],38.94,(221),0.24,0.015,yes
Pb,3,tilt ,[110],109.47,(112),0.22,0.014,yes
Pb,7,tilt ,[111],38.21,(321),0.23,0.014,yes
Pb,3,tilt ,[111],180,(110),0.24,0.015,yes
Pd,5,tilt ,[100],36.87,(021),1,0.063,yes
Pd,5,tilt ,[100],53.13,(013),0.9,0.056,yes
Pd,9,tilt ,[110],38.94,(221),0.85,0.053,yes
Pd,3,tilt ,[110],109.47,(112),0.68,0.043,yes
Pd,7,tilt ,[111],38.21,(321),0.95,0.059,yes
Pd,3,tilt ,[111],180,(110),0.89,0.055,yes
Pt,5,tilt ,[100],36.87,(021),1.09,0.068,yes
Pt,5,tilt ,[100],53.13,(013),0.89,0.056,yes
Pt,51,tilt ,[110],16.1,(551),0.64,0.04,no
Pt,33,tilt ,[110],20.05,(441),0.59,0.037,no
Pt,66,tilt ,[110],20.05,(118),1.06,0.066,no
Pt,19,tilt ,[110],26.53,(331),0.77,0.048,yes
Pt,19,tilt ,[110],26.53,(116),1.06,0.066,no
Pt,9,tilt ,[110],38.94,(221),0.8,0.05,yes
Pt,9,tilt ,[110],38.94,(114),0.91,0.057,no
Pt,11,tilt ,[110],50.48,(113),0.46,0.029,yes
Pt,41,tilt ,[110],55.88,(443),0.76,0.047,no
Pt,33,tilt ,[110],58.99,(225),0.6,0.038,no
Pt,43,tilt ,[110],80.63,(335),0.88,0.055,no
Pt,17,tilt ,[110],86.63,(223),0.91,0.057,no
Pt,17,tilt ,[110],93.37,(334),0.77,0.048,no
Pt,57,tilt ,[110],97.05,(445),0.69,0.043,no
Pt,3,tilt ,[110],109.47,(112),0.67,0.042,yes
Pt,27,tilt ,[110],148.41,(552),0.79,0.049,no
Pt,27,tilt ,[110],148.41,(115),0.85,0.053,yes
Pt,7,tilt ,[111],38.21,(321),0.88,0.055,yes
Pt,3,tilt ,[111],180,(110),0.86,0.054,yes
Rh,5,tilt ,[100],36.87,(021),1.68,0.105,yes
Rh,5,tilt ,[100],53.13,(013),1.45,0.09,yes
Rh,9,tilt ,[110],38.94,(221),1.31,0.082,yes
Rh,3,tilt ,[110],109.47,(112),1.25,0.078,yes
Rh,7,tilt ,[111],38.21,(321),1.54,0.096,yes
Rh,3,tilt ,[111],180,(110),1.55,0.097,yes
