,factors,num_factors,cv_score,cv_score_std
4049,"['unstable_stack_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.1852185202483553,0.08195827162825323
4074,"['unstable_twinning_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.1853560431963603,0.07080345509751838
4076,"['unstable_twinning_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.18938873703042172,0.07564401081393944
2838,"['c11_sc', 'c44_fcc', 'unstable_twinning_energy_fcc']",3,-0.1944970242390623,0.07661455122985332
3166,"['c12_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",3,-0.1961669461950759,0.05862604831052773
2211,"['bulk_modulus_sc', 'c44_fcc', 'vacancy_migration_energy_fcc']",3,-0.19734369554933479,0.0503834983629298
4051,"['unstable_stack_energy_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.1974596479016175,0.0828980184117928
3418,"['c44_bcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",3,-0.1976133976452547,0.07591622281035923
2836,"['c11_sc', 'c44_fcc', 'unstable_stack_energy_fcc']",3,-0.19769461792835802,0.0765673839788178
4066,"['unstable_stack_energy_slip_fraction_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.19878501989953545,0.05267023643260314
3162,"['c12_fcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",3,-0.19881943854293396,0.0804483069579202
4028,"['intr_stack_fault_energy_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.19912189013491635,0.06939498558357166
2648,"['c11_fcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",3,-0.2003735931591565,0.07322631449722558
1958,"['bulk_modulus_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",3,-0.20049017492266377,0.07398560038224553
2438,"['c11_bcc', 'c44_fcc', 'unstable_twinning_energy_fcc']",3,-0.2021678615278818,0.07863013045030989
3622,"['c44_fcc', 'unstable_twinning_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.20227158312745444,0.07965710351777044
